;ID;Thème;Message;Lien externe
;AID_PERMIS_MESAIDES;Aide;Vous avez besoin de passer le permis ? Bénéficiez d'au moins 500€ d'aides dès maintenant.;https://mes-aides.pole-emploi.fr/
;EMP_OPTIM;Emploi;Entre 4 et 7 employeurs sur 10 recrutent sans déposer d'offre d'emploi : optimisez vos chances en adressant aussi des candidatures spontanées ! ;
;EMP_CV_CVDESIGNER;Emploi;Besoin d'aide pour concevoir un beau CV ? Vous pouvez le faire gratuitement sur CVdesignr.;https://cvdesignr.com/fr
;EMP_CV_DIAGORIENTE;Emploi;Besoin d'aide pour construire un CV à partir de vos expériences ? Inscrivez-vous gratuitement sur Diagoriente.;https://web-app.diagoriente.beta.gouv.fr/#/inscription?utm_source=lba&utm_campaign=lba-dec2021
;EMP_EMP_AID;Emploi;Les employeurs qui embauchent des alternants reçoivent des aides : c'est un bon argument pour convaincre une entreprise qui ne connaît pas l'alternance de vous embaucher !;
;EMP_AVENIR_PROF;Emploi;La loi « Avenir professionnel » a étendu les possibilités de faire un contrat en alternance à l’étranger, dans ou hors de l’Union européenne.;https://ec.europa.eu/eures/portal/jv-se/search?page=1&resultsPerPage=10&orderBy=BEST_MATCH&positionOfferingCodes=apprenticeship
;AID_COMMUNES;Aide;Certaines communes mettent à disposition des logements pour l'hébergement des alternants.;
;ORI_PREPA_APPR;Orientation;Des doutes sur votre orientation ? Pensez à la Prépa-apprentissage : un dispositif qui vous permet de découvrir un ou plusieurs métiers !;https://travail-emploi.gouv.fr/le-ministere-en-action/pic/prepa-apprentissage-pic
;FOR_LABEL;Formation;Certains établissements de formation obtiennent des labels d'excellence, c'est par exemple le cas des CMQ (Campus des Métiers et Qualifications d'excellence).;https://www.education.gouv.fr/les-campus-des-metiers-et-des-qualifications-5075
;AID_ENTRETIEN;Aide;Après la candidature, l'entretien ! Préparez-vous à l'aide de ce module !;https://dinum-beta.didask.com/courses/demonstration/60d1adbb877dae00003f0eac
;AID_MATERIEL;Aide;Vous allez avoir besoin de matériel pour votre apprentissage (couteaux de cuisine, ciseaux de coiffure, ...) ? Il existe des aides financières au premier équipement !;
;AID_QUIT_DOMICILE;Aide;Vous devez quitter le domicile familial pour vos études ? Action Logement vous aide à vous installer.;https://www.actionlogement.fr/aide-logement-apprentis
;AID_FINAN_ABO;Aide;La plupart des régions aident au financement des abonnements en transport en commun pour les alternants : renseignez-vous !;
;AID_ANAF;Aide ;L'ANAF (Association Nationale des Apprentis de France) peut vous aider à tout moment de votre parcours et pour toute question que vous vous posez ! ;http://www.anaf.fr/
;FOR_PORT_OUV;Formation;La plupart des organismes de formations font des journées portes ouvertes : vous avez l'occasion d'échanger avec des alternants !;
;EMP_SEC_PUB;Emploi;Le secteur public (mairies, ministères, départements, régions, ...) recrute aussi des alternants, pensez-y ! ;https://www.pass.fonction-publique.gouv.fr/
;FOR_COMBIEN_6_MOIS;Formation;Combien de personnes ont trouvé un emploi dans les 6 mois après avoir obtenu le diplôme que vous souhaitez préparer ? La réponse ici ! ;https://www.inserjeunes.education.gouv.fr/diffusion/accueil
;EMP_MEMO;Emploi;Pour vous organiser dans vos candidatures, essayez Memo ! ;https://memo.pole-emploi.fr/?utm_source=labonnealternance&utm_medium=web&utm_campaign=labonnealternance-astuces
;ORI_DIAGORIENTE;Orientation;Vous hésitez dans le choix d'un métier ? Faites le point avec Diagoriente, un service qui vous accompagne dans la construction de votre orientation professionnelle.;https://diagoriente.beta.gouv.fr/
;AID_1JEUNE_1SOL;Aide;De nombreuses aides existent pour les jeunes : pour les connaître, faites une simulation sur 1 jeune 1 solution !;https://www.1jeune1solution.gouv.fr/mes-aides
;EMP_SALON_ETUDIANT;Emploi;Tout au long de l'année, il existe des salons de recrutement (physiques ou virtuels) spécialisés pour l'alternance : renseignez-vous !;https://www.letudiant.fr/etudes/salons.html
;EMP_SALON_STUDYRAMA;Emploi;Tout au long de l'année, il existe des salons de recrutement (physiques ou virtuels) spécialisés pour l'alternance : renseignez-vous !;https://www.studyrama.com/salons
;EMP_LM;Emploi;Un message de motivation personnalisé accompagnant l'envoi de votre CV augmente vos chances d'obtenir un contact avec le recruteur !;
;EMP_EMAIL_PRO;Emploi;Les recruteurs font attention à de petits détails ! Professionnalisez vos candidatures en utilisant une adresse email adaptée aux contacts professionnels (par exemple : nom.prénom@email.fr);
;EMP_QUAL_RECH;Emploi; Motivation, Dynamisme et Présentation soignée : 3 qualités recherchées par les employeurs de jeunes candidats. Mettez-les en avant dans votre candidature !;
